"distance","bathymetry","mns","mnt","x","y"
"0","0","458.1","458.1","2552911.715223","1197448.937535"
"4.2","0","458.2","458.1","2552914.817888","1197446.0850759412"
"8.4","0","458.2","458.2","2552917.9205529997","1197443.2326168823"
"12.6","0","458.2","458.2","2552921.023218","1197440.3801578237"
"16.9","0","458.3","458.3","2552924.125883","1197437.5276987648"
"21.1","0","458.4","458.3","2552927.228548","1197434.675239706"
"25.3","0","458.4","458.4","2552930.3312129998","1197431.822780647"
"29.5","0","458.5","458.5","2552933.433878","1197428.9703215882"
"33.7","0","458.7","458.7","2552936.536543","1197426.1178625294"
"37.9","0","458.8","458.8","2552939.6392079997","1197423.2654034707"
"42.1","0","458.9","458.9","2552942.741873","1197420.4129444119"
"46.4","0","459.1","459.1","2552945.844538","1197417.560485353"
"50.6","0","459.3","459.3","2552948.9472029996","1197414.7080262941"
"54.8","0","459.5","459.5","2552952.0498679997","1197411.8555672353"
"59","0","459.6","459.6","2552955.152533","1197409.0031081764"
"63.2","0","459.8","459.8","2552958.255198","1197406.1506491178"
"67.4","0","460.1","460.1","2552961.3578629997","1197403.298190059"
"71.6","0","460.2","460.2","2552964.460528","1197400.445731"
"75.8","0","460.1","460.1","2552965.8911669757","1197396.4974646748"
"80","0","460.2","460.2","2552967.3218059517","1197392.5491983495"
"84.2","0","474.7","460.1","2552968.7524449276","1197388.6009320242"
"88.4","0","461.6","460","2552970.1830839035","1197384.652665699"
"92.6","0","459.8","459.8","2552971.6137228794","1197380.7043993736"
"96.8","0","459.8","459.8","2552973.0443618554","1197376.7561330483"
"101","0","463.1","459.8","2552974.4750008313","1197372.8078667228"
"105.2","0","463.2","459.6","2552975.905639807","1197368.8596003975"
"109.4","0","459.6","459.6","2552977.336278783","1197364.9113340722"
"113.6","0","467.4","459.4","2552978.766917759","1197360.963067747"
"117.8","0","463.2","459.3","2552980.1975567346","1197357.0148014217"
"122","0","459.3","459.3","2552981.6281957105","1197353.0665350964"
"126.2","0","459.2","459.2","2552983.0588346864","1197349.118268771"
"130.4","0","461.2","458.7","2552984.4894736623","1197345.1700024458"
"134.6","0","459.3","458.9","2552985.9201126383","1197341.2217361205"
"138.8","0","462.3","457.9","2552987.350751614","1197337.2734697952"
"143","0","458.3","458.3","2552988.78139059","1197333.32520347"
"147.2","0","458.2","458.3","2552990.212029566","1197329.3769371447"
"151.4","0","457.8","455.6","2552991.642668542","1197325.4286708194"
"155.6","0","455.5","455.6","2552993.073307518","1197321.480404494"
"159.8","0","458.6","453.3","2552994.503946494","1197317.5321381686"
"164","0","458.6","452.9","2552995.93458547","1197313.5838718433"
"168.2","0","458.6","453","2552997.3652244457","1197309.635605518"
"172.4","0","452.9","452.9","2552998.7958634216","1197305.6873391927"
"176.6","0","452.9","452.9","2553000.2265023976","1197301.7390728674"
"180.8","0","452.8","452.8","2553001.6571413735","1197297.7908065422"
"185","0","450.7","450.7","2553003.0877803494","1197293.8425402169"
"189.2","0","449.9","449.9","2553004.5184193254","1197289.8942738916"
"193.4","0","448.2","448.2","2553005.9490583013","1197285.9460075663"
"197.6","0","448","448","2553007.379697277","1197281.997741241"
"201.8","0","447.9","447.4","2553008.810336253","1197278.0494749157"
"206","0","446.6","446.6","2553010.2409752286","1197274.1012085904"
"210.2","0","447.2","445.5","2553011.6716142045","1197270.1529422652"
"214.4","0","444.2","444.2","2553013.1022531805","1197266.2046759399"
"218.6","0","443.3","443.3","2553014.5328921564","1197262.2564096143"
"222.8","0","442.1","442.2","2553015.9635311323","1197258.308143289"
"227","0","445.2","442.2","2553017.3941701083","1197254.3598769638"
"231.2","0","446.7","441.3","2553018.824809084","1197250.4116106385"
"235.4","0","445.4","440.8","2553020.25544806","1197246.4633443132"
"239.6","0","445.8","441.2","2553021.686087036","1197242.515077988"
"243.8","0","441.4","440.7","2553023.116726012","1197238.5668116626"
"248","0","440.2","438.5","2553024.547364988","1197234.6185453373"
"252.2","0","452.1","438.3","2553025.978003964","1197230.670279012"
"256.4","0","453.1","437.9","2553027.4086429398","1197226.7220126868"
"260.6","0","444.6","436","2553028.8392819157","1197222.7737463615"
"264.8","0","438.4","435.8","2553030.2699208916","1197218.8254800362"
"269","0","437.7","435.2","2553031.7005598675","1197214.877213711"
"273.2","0","434.7","434.6","2553033.1311988435","1197210.9289473856"
"277.4","0","433.9","433.9","2553034.5618378194","1197206.98068106"
"281.6","0","433.4","433.4","2553035.9924767953","1197203.0324147348"
"285.8","0","432.8","432.8","2553037.4231157713","1197199.0841484095"
"290","0","432.4","432.4","2553038.8537547467","1197195.1358820843"
"294.2","0","431.3","431.3","2553040.2843937227","1197191.187615759"
"298.4","0","432.4","432.4","2553041.7150326986","1197187.2393494337"
"302.6","0","432.5","432.5","2553043.1456716745","1197183.2910831084"
"306.8","0","432.4","432.4","2553044.5763106504","1197179.342816783"
"311","0","432.3","432.3","2553046.0069496264","1197175.3945504578"
"315.2","0","435.1","432.2","2553047.4375886023","1197171.4462841325"
"319.4","0","431.7","431.6","2553048.8682275782","1197167.4980178073"
"323.6","0","431.3","431.3","2553050.298866554","1197163.549751482"
"327.8","0","434.4","431.2","2553051.72950553","1197159.6014851567"
"332","0","430.8","430.8","2553053.160144506","1197155.6532188314"
"336.2","0","430.5","430.5","2553054.590783482","1197151.7049525059"
"340.4","0","430.3","430.3","2553056.021422458","1197147.7566861806"
"344.6","0","432.7","430.2","2553057.452061434","1197143.8084198553"
"348.8","0","429.9","429.9","2553058.8827004097","1197139.86015353"
"353","0","429.8","429.7","2553060.3133393857","1197135.9118872047"
"357.2","0","429.9","430","2553061.7439783616","1197131.9636208795"
"361.4","0","429.3","429.3","2553063.1746173375","1197128.0153545542"
"365.6","0","430.2","429.3","2553064.6052563135","1197124.0670882289"
"369.8","429","429.9","429.2","2553066.0358952894","1197120.1188219036"
"374","429","429.3","429.2","2553067.4665342653","1197116.1705555783"
"378.2","429","429.9","429.2","2553068.897173241","1197112.222289253"
"382.4","429","429.9","429.2","2553070.3278122167","1197108.2740229277"
"386.6","429","429.3","429.4","2553071.7584511926","1197104.3257566025"
"390.8","429","429.3","429.3","2553073.1890901686","1197100.3774902772"
"395","429","429.3","429.3","2553074.6197291445","1197096.4292239517"
"399.2","428","429.3","429.3","2553076.0503681204","1197092.4809576264"
"403.4","428","429.3","429.3","2553077.4810070964","1197088.532691301"
"407.6","428","429.3","429.2","2553078.9116460723","1197084.5844249758"
"411.8","428","429.3","429.3","2553080.342285048","1197080.6361586505"
"416","428","429.3","429.3","2553081.772924024","1197076.6878923252"
"420.2","428","429.3","429.3","2553083.203563","1197072.739626"
