"distance","Altitude","color_packed","intensity","Classification","coords"
"2.42","1150.8260","79 77 56","100","2","2552435.630937 1217231.007219"
"2.99","1150.9060","79 75 52","106","3","2552435.637937 1217230.266219"
"2.99","1150.9060","79 75 52","106","3","2552435.638617 1217230.266219"
"3.41","1150.6690","91 89 57","73","3","2552437.697617 1217231.495219"
"3.81","1151.2410","133 129 100","32","2","2552434.802617 1217228.454219"
"5.93","1159.4460","66 59 54","170","5","2552438.393617 1217228.754219"
"6.46","1154.1510","77 74 57","0","5","2552437.135617 1217226.975219"
"7.97","1150.4240","92 85 66","58","2","2552436.650617 1217224.556219"
"8.45","1165.4380","88 85 68","108","5","2552440.643617 1217227.380219"
"8.7","1161.4560","76 67 49","138","5","2552438.609617 1217225.288219"
"9.82","1157.4380","88 79 64","0","5","2552438.218617 1217223.471219"
"9.86","1149.1700","94 85 66","107","3","2552440.405617 1217225.308219"
"10.24","1154.3970","67 62 50","255","5","2552440.609617 1217224.985219"
"10.57","1155.9030","95 85 72","227","5","2552439.2659369996 1217223.380219"
"10.57","1155.9030","95 85 72","227","5","2552439.266617 1217223.380219"
"10.65","1158.1990","106 101 86","53","5","2552441.774617 1217225.441219"
"11.37","1162.3790","107 102 86","221","5","2552442.434617 1217225.066219"
"11.37","1148.1990","116 105 82","141","2","2552438.703617 1217221.842219"
"11.64","1152.2470","91 81 62","149","5","2552439.150617 1217221.872219"
"13.12","1160.2570","117 108 85","58","5","2552439.933617 1217220.583219"
"13.87","1152.0810","123 116 94","0","5","2552443.427617 1217222.620219"
"13.95","1147.5200","114 111 98","42","3","2552444.342617 1217223.302219"
"14.24","1157.1830","83 76 63","210","5","2552442.379617 1217221.228219"
"14.69","1164.6510","113 105 85","95","5","2552442.305617 1217220.562219"
"15.22","1146.4910","116 108 88","155","3","2552442.2446169998 1217219.805219"
"15.26","1154.2660","73 68 58","14","5","2552441.0286169997 1217218.704219"
"15.89","1150.4170","111 102 82","172","5","2552442.308617 1217218.985219"
"16.32","1160.6480","111 103 88","251","5","2552443.768617 1217219.670219"
"17.18","1152.5200","131 123 99","98","5","2552445.704937 1217220.2082190001"
